spatial_dim,spatial_dim_en,spatial_dim_es,time_dim,dengue_cases,population,year,cases_per_100k,lag_cases_1,lag_cases_2,ma3_cases,risk_score
ABW,Aruba,Aruba,2014,400.0,17030.842307928644,2014,2348.680075640073,0.0,0.0,400.0,2.7978281302113728
ABW,Aruba,Aruba,2015,335.0,17173.56231439315,2015,1950.672748421198,400.0,0.0,367.5,2.7918507675088433
ABW,Aruba,Aruba,2016,1319.0,17311.950657821882,2016,7619.014321786145,335.0,400.0,684.6666666666666,12.020528320128275
ABW,Aruba,Aruba,2017,1734.0,17442.530906450924,2017,9941.21787313961,1319.0,335.0,1129.3333333333333,16.224606068883492
ABW,Aruba,Aruba,2018,9.0,17564.48461192248,2018,51.23976136419597,1734.0,1319.0,1020.6666666666666,2.172008287546786
ABW,Aruba,Aruba,2019,106.0,17677.919555458157,2019,599.6180696911922,9.0,1734.0,616.3333333333334,2.4786372317470815
ABW,Aruba,Aruba,2020,11.0,17743.45898944104,2020,61.99467649766595,106.0,9.0,42.0,0.278439503801513
ABW,Aruba,Aruba,2021,4.0,17786.503869149026,2021,22.488961458794964,11.0,106.0,40.333333333333336,0.255240132163129
ABW,Aruba,Aruba,2022,11.0,17844.19869038654,2022,61.644684588309296,4.0,11.0,8.666666666666666,0.15136973733443743
ABW,Aruba,Aruba,2023,22.0,17894.818404040834,2023,122.94061612288937,11.0,4.0,12.333333333333334,0.0
ABW,Aruba,Aruba,2024,88.0,17942.2042063514,2024,490.4637077358014,22.0,11.0,40.333333333333336,0.30408145518262303
AIA,Anguilla,Anguila,2014,86.0,2252.5069561619757,2014,3817.968231562515,0.0,0.0,86.0,5.215918991467935
AIA,Anguilla,Anguila,2015,8.0,2335.3690195532727,2015,342.55828235360855,86.0,0.0,47.0,0.580720911123968
AIA,Anguilla,Anguila,2016,50.0,2355.438466149669,2016,2122.74702644781,8.0,86.0,48.0,2.8029238471557796
AIA,Anguilla,Anguila,2017,22.0,2375.5449793788957,2017,926.1032811827486,50.0,8.0,26.666666666666668,0.6437839867768785
AIA,Anguilla,Anguila,2018,1.0,2428.5809054266438,2018,41.17630990861818,22.0,50.0,24.33333333333333,0.4382061168052455
AIA,Anguilla,Anguila,2019,6.0,2448.7567791343245,2019,245.02229258232407,1.0,22.0,9.666666666666666,0.26730839009356366
AIA,Anguilla,Anguila,2020,6.0,2455.6707928708533,2020,244.3324250717489,6.0,1.0,4.333333333333333,0.10494138395912454
AIA,Anguilla,Anguila,2023,1.0,2393.026254883009,2023,41.78809145781346,6.0,6.0,4.333333333333333,0.26691254694878086
AIA,Anguilla,Anguila,2024,5.0,2428.13756167427,2024,205.91914061707269,1.0,6.0,4.0,0.12186333586010978
ARG,Argentina,Argentina,2014,3270.0,6128670.098655196,2014,53.3557843277864,0.0,0.0,3270.0,1.7225452696227332
ARG,Argentina,Argentina,2015,4774.0,6295171.6120704,2015,75.83589922864539,3270.0,0.0,4022.0,3.2386131586415248
ARG,Argentina,Argentina,2016,79455.0,6159575.220862906,2016,1289.9428475340385,4774.0,3270.0,29166.33333333333,7.46254808983156
ARG,Argentina,Argentina,2017,557.0,6314223.272042632,2017,8.82135420307702,79455.0,4774.0,28262.0,22.09459422207066
ARG,Argentina,Argentina,2018,1829.0,6368542.492853629,2018,28.71928705904666,557.0,79455.0,27280.33333333333,25.60963193048467
ARG,Argentina,Argentina,2019,3220.0,6416533.302545623,2019,50.18286118335166,1829.0,557.0,1868.6666666666667,2.7331669792087903
ARG,Argentina,Argentina,2020,59358.0,6450534.760283386,2020,920.2027770701026,3220.0,1829.0,21469.0,5.703796378752254
ARG,Argentina,Argentina,2021,3972.0,6575016.753071303,2021,60.41049246216158,59358.0,3220.0,22183.33333333333,16.70272110941228
ARG,Argentina,Argentina,2022,841.0,6593406.603574846,2022,12.75516664699584,3972.0,59358.0,21390.33333333333,21.01419634995888
ARG,Argentina,Argentina,2023,146876.0,7328706.660303214,2023,2004.1189640673,841.0,3972.0,50563.0,12.020044110330705
ARG,Argentina,Argentina,2024,581559.0,7498879.063016401,2024,7755.279090553431,146876.0,841.0,243092.0,50.99813453110257
ATG,Antigua and Barbuda,Antigua y Barbuda,2014,37.0,13817.913129348904,2014,267.76836453988784,0.0,0.0,37.0,0.14337872702631385
ATG,Antigua and Barbuda,Antigua y Barbuda,2015,14.0,13923.414091573666,2015,100.55005121533146,37.0,0.0,25.5,0.07638601149473698
ATG,Antigua and Barbuda,Antigua y Barbuda,2016,103.0,14022.071992645391,2016,734.5562057734672,14.0,37.0,51.333333333333336,0.7083936110098175
ATG,Antigua and Barbuda,Antigua y Barbuda,2017,1.0,14110.59102335003,2017,7.08687537145122,103.0,14.0,39.333333333333336,0.5410908931431141
ATG,Antigua and Barbuda,Antigua y Barbuda,2018,8.0,14196.77258466991,2018,56.35083574303805,1.0,103.0,37.333333333333336,0.3615721299464559
ATG,Antigua and Barbuda,Antigua y Barbuda,2019,1223.0,14282.588579296727,2019,8562.873552017,8.0,1.0,410.6666666666667,13.504049779567058
ATG,Antigua and Barbuda,Antigua y Barbuda,2020,407.0,14371.989259001217,2020,2831.8974685087155,1223.0,8.0,546.0,4.588908273527668
ATG,Antigua and Barbuda,Antigua y Barbuda,2021,25.0,14465.108036737842,2021,172.82968047321947,407.0,1223.0,551.6666666666666,1.67942187635891
ATG,Antigua and Barbuda,Antigua y Barbuda,2022,48.0,14556.383537789265,2022,329.75223464941723,25.0,407.0,160.0,0.7407912514140843
ATG,Antigua and Barbuda,Antigua y Barbuda,2023,254.0,15439.984809239397,2023,1645.079338730985,48.0,25.0,109.0,1.6210235194798754
